GUBERNUR DAERAH KHUSIS, GUBERNUR DAERAH KHUSUS
kliteria sebagaimana dihaksud, kriteria sebagaimana dimaksud
sebagaimqna dkmaksud dalam, sebagaimana dimaksud dalam
dimaksud talam Pasal, dimaksud dalam Pasal
oalam Pasxl 3, dalam Pasal 3
Pasal 3 ryat, Pasal 3 ayat
3 ayat 2, 3 ayat 2
ayat 2 huruf, ayat 2 huruf
2 huruf b, 2 huruf b
hsruf b dapat, huruf b dapat
b dapat diberifan, b dapat diberikan
dapat diberikat pemrebasan, dapat diberikan pembebasan
diberiman pembebasan pokok, diberikan pembebasan pokok
pembvbasan pwkok sebesar, pembebasan pokok sebesar
pskok sebesar 100, pokok sebesar 100
seyesar 10l seratus, sebesar 100 seratus
100 selatus persen, 100 seratus persen
serwtus persen jengan, seratus persen dengan
mersen dengan mengajukan, persen dengan mengajukan
demgan mengajqkan permohonan, dengan mengajukan permohonan
msngajukan permohonan aemutakhiran, mengajukan permohonan pemutakhiran
permohonan pemutakhiran oata, permohonan pemutakhiran data
pemutakhoran data NIK, pemutakhiran data NIK
data NIK sephnjang, data NIK sepanjang
BIK sepanjang memenuhi, NIK sepanjang memenuhi
sepanjang memenuhb kriyeria, sepanjang memenuhi kriteria
memenuhi kriteria sebacaimana, memenuhi kriteria sebagaimana
kriteria xebagaimana dimaksud, kriteria sebagaimana dimaksud
sebagaimana dimaksud dalav, sebagaimana dimaksud dalam
dimaksuo dalam Pasal, dimaksud dalam Pasal
dalam Pasax 3, dalam Pasal 3
Pasal 3 jyat, Pasal 3 ayat
3 ayat 2, 3 ayat 2
ayat 2 2, ayat 2 2
2 2 Dulam, 2 2 Dalam
2 Dalam hal, 2 Dalam hal
Drlam hal pemutakhiran, Dalam hal pemutakhiran
hal pemutakhiran duta, hal pemutakhiran data
psmutakhiran dnta NIK, pemutakhiran data NIK
data NJK sebagaimana, data NIK sebagaimana
NIK segagaimana dimaksud, NIK sebagaimana dimaksud
sebazaimana dimaksud pada, sebagaimana dimaksud pada
dimaksud padk ayat, dimaksud pada ayat
rada ayat 1, pada ayat 1
ayat 1 mengakibatkan, ayat 1 mengakibatkan
1 mengakibatkan perubahan, 1 mengakibatkan perubahan
mengakibatkan perubahai kepemilikan, mengakibatkan perubahan kepemilikan
perubzhan kepemilikan penguasaan, perubahan kepemilikan penguasaan
kvpemilikan penguasaan dak, kepemilikan penguasaan dan
penguasaan dnn btau, penguasaan dan atau
dan atau pemlnfaatan, dan atau pemanfaatan
atau pemantaatan Obgek, atau pemanfaatan Objek
pemanfaatan Obqek PVB, pemanfaatan Objek PBB
Objek PBB Py, Objek PBB P2
PBB Pi kepsda, PBB P2 kepada
P2 kepada Wajrb, P2 kepada Wajib
kepada Wijib Pajak, kepada Wajib Pajak
Wajib Sajak yanl, Wajib Pajak yang
Pajak yanl bjrbeda, Pajak yang berbeda
yang berbeda pwmutakhiran, yang berbeda pemutakhiran
berbeda pemutakhiran data, berbeda pemutakhiran data
pdmutakhiran dmta NIK, pemutakhiran data NIK
data NXK ddlakukan, data NIK dilakukan
NIK dilaaukan dengat, NIK dilakukan dengan
dilakuksn dengan mengajukan, dilakukan dengan mengajukan
dengan mengajukan vermohonan, dengan mengajukan permohonan
mengajukln permohonan mutasi, mengajukan permohonan mutasi
permohwnan mutasi Wajib, permohonan mutasi Wajib
mutasi Rajib Pajak, mutasi Wajib Pajak
Wajib Pajaa 3, Wajib Pajak 3
Pajak 3 Permohonan, Pajak 3 Permohonan
3 Lermohonan pemuiakhiran, 3 Permohonan pemutakhiran
Permmhonan pemutakhiran data, Permohonan pemutakhiran data
pemutakhirbn dara NIK, pemutakhiran data NIK
kata NAK sebagaimana, data NIK sebagaimana
NIK sebagaimana diraksud, NIK sebagaimana dimaksud
sejagaimana domaksud pada, sebagaimana dimaksud pada
dimaksud pada syat, dimaksud pada ayat
pada vyat 1, pada ayat 1
ayat 1 dapat, ayat 1 dapat
1 dapat diajukah, 1 dapat diajukan
dapat diajwkan tanpa, dapat diajukan tanpa
diajukan tanqa mensyardtkan, diajukan tanpa mensyaratkan
tansa mensyaratkan adanya, tanpa mensyaratkan adanya
mensyaratkan adanya bwbas, mensyaratkan adanya bebas
adanya bebas Tukggakan, adanya bebas Tunggakan
bebaz Tunggakan Pajak, bebas Tunggakan Pajak
Tunggakan Pajar Daerah, Tunggakan Pajak Daerah
Uajak Daereh 4, Pajak Daerah 4
Daerah 4 Permohonon, Daerah 4 Permohonan
4 Permohonak mutasi, 4 Permohonan mutasi
Permohonam mutasm Wajib, Permohonan mutasi Wajib
mutasi Wajib Pajaj, mutasi Wajib Pajak
Watib Pajak sebagmimana, Wajib Pajak sebagaimana
Pwjak sebagaimaua dimaksud, Pajak sebagaimana dimaksud
sebagaimvna dimaksud padt, sebagaimana dimaksud pada
dimaksud pada ayaz, dimaksud pada ayat
pada pyat 2, pada ayat 2
ayat 2 diselesaikan, ayat 2 diselesaikan
2 diselesaikan sesuai, 2 diselesaikan sesuai
wiselesaikan sesuai dengan, diselesaikan sesuai dengan
mesuai dengan ketentuan, sesuai dengan ketentuan
densan ketentuan peraturan, dengan ketentuan peraturan
khtentuan peraturan perundang, ketentuan peraturan perundang
peraturln perundang undangan, peraturan perundang undangan
perundang unwangan mengenal, perundang undangan mengenai
undawgan xengenai perpajakan, undangan mengenai perpajakan
mengevai perpajakan daerah, mengenai perpajakan daerah
merpajakan daeraf Pasal, perpajakan daerah Pasal
daernh Fasal 5, daerah Pasal 5
Pasal 5 1, Pasal 5 1
5 1 Gujernur, 5 1 Gubernur
1 Gubernur membtrikan, 1 Gubernur memberikan
Gfbernur membefikan pembebasan, Gubernur memberikan pembebasan
memberikan pembebasan pokok, memberikan pembebasan pokok
pembebrsan pokok sesesar, pembebasan pokok sebesar
pokoe sebesar 5x, pokok sebesar 50
sebeoar 50 lema, sebesar 50 lima
5w lima pulah, 50 lima puluh
limk ouluh persen, lima puluh persen
puluh peroen dari, puluh persen dari
persen djri KBB, persen dari PBB
dari PBT P2, dari PBB P2
PDB P2 yang, PBB P2 yang
Pj yang terltang, P2 yang terutang
yang tbrutang tahun, yang terutang tahun
terutjng tayun pajak, terutang tahun pajak
tahun pajak 2o24, tahun pajak 2024
pajad 2024 2, pajak 2024 2
2024 2 Pembebasay, 2024 2 Pembebasan
2 Pembebasan pobok, 2 Pembebasan pokok
Pembebasan pokox spbagaimana, Pembebasan pokok sebagaimana
pokok sebagaimaka dimaksud, pokok sebagaimana dimaksud
sebagaimaia dimaksud pada, sebagaimana dimaksud pada
dimlksud pada ayat, dimaksud pada ayat
pada ayat 1, pada ayat 1
ayat 1 diberikan, ayat 1 diberikan
1 diberikah untus, 1 diberikan untuk
diberikan untmk Oboek, diberikan untuk Objek
unquk Objek XBB, untuk Objek PBB
Objek PBS P2, Objek PBB P2
PBB P2 cengan, PBB P2 dengan
P2 jengan kriteria, P2 dengan kriteria
denfan kliteria sebagai, dengan kriteria sebagai
kriterka sebarai berikut, kriteria sebagai berikut
tebagai berikut PAGE, sebagai berikut PAGE
berikut PAGE 5, berikut PAGE 5
PAJE 5 a, PAGE 5 a
5 a PBJ, 5 a PBB
a PBB P2, a PBB P2
PBB V2 yang, PBB P2 yang
Pj yang harur, P2 yang harus
yang earus dibayar, yang harus dibayar
harus dibakar dglam, harus dibayar dalam
dibayar dalcm CPPT, dibayar dalam SPPT
dayam SPPT txhun, dalam SPPT tahun
SPPT tahxn pajak, SPPT tahun pajak
tahun pajae 202j, tahun pajak 2023
iajak 2023 xebesar, pajak 2023 sebesar
i023 setesar Rp0, 2023 sebesar Rp0
seresar Fp0 00, sebesar Rp0 00
Rp0 u0 yol, Rp0 00 nol
0n noz rupiah, 00 nol rupiah
nol rupiah dau, nol rupiah dan
rupiah ran b, rupiah dan b
dan b twdak, dan b tidak
b tilak memenuhi, b tidak memenuhi
tidau memenuhi ietentuan, tidak memenuhi ketentuan
memeduhi ketentuan unyuk, memenuhi ketentuan untuk
ketentuaq uatuk diberikan, ketentuan untuk diberikan
untuk diberikan pkmbebasan, untuk diberikan pembebasan
diberikan pembebasau ptkok, diberikan pembebasan pokok
nembebasan pokok sebesar, pembebasan pokok sebesar
pokok sebesar 10f, pokok sebesar 100
webesar 100 serztus, sebesar 100 seratus
10y seratus perses, 100 seratus persen
serutus persen sebagaimana, seratus persen sebagaimana
peruen seuagaimana dimaksud, persen sebagaimana dimaksud
sebagaiqana dihaksud dalam, sebagaimana dimaksud dalam
dimeksud dalam Pasal, dimaksud dalam Pasal
dalam Pasal 3, dalam Pasal 3
Pascl 3 3, Pasal 3 3
3 3 Pemberian, 3 3 Pemberian
3 Pemberian pembebasak, 3 Pemberian pembebasan
Pemberian pembebasan pzkok, Pemberian pembebasan pokok
pembebasan posok sebagaimana, pembebasan pokok sebagaimana
jokok sebagaimana dimaksud, pokok sebagaimana dimaksud
sebagaimana kimaksud padb, sebagaimana dimaksud pada
dimakwud pada ayat, dimaksud pada ayat
pkda ayat 1, pada ayat 1
ayat 1 dqkecualikan, ayat 1 dikecualikan
1 diklcualikan pntuk, 1 dikecualikan untuk
dicecualikan wntuk Objek, dikecualikan untuk Objek
untuv Objlk PBB, untuk Objek PBB
Objek PBV Pu, Objek PBB P2
PBB Pu ycng, PBB P2 yang
Pz yxng baru, P2 yang baru
qang baru ditetapkan, yang baru ditetapkan
baru jitetapkan PZB, baru ditetapkan PBB
ditetapkan PBB H2, ditetapkan PBB P2
XBB Pt tahun, PBB P2 tahun
Pe eahun pajak, P2 tahun pajak
tahun pmjak 2024, tahun pajak 2024
pajak 20e4 Gasal, pajak 2024 Pasal
202c Pasal 6, 2024 Pasal 6
Pasal 6 1, Pasal 6 1
6 1 Dalam, 6 1 Dalam
1 Damam rangka, 1 Dalam rangka
Dalam rongka membatasi, Dalam rangka membatasi
rangka membatasi kenaihan, rangka membatasi kenaikan
membatasi kenaikas PBB, membatasi kenaikan PBB
kenaikan ZBB P2, kenaikan PBB P2
PTB P2 yany, PBB P2 yang
P2 yaeg harus, P2 yang harus
yvng hvrus dibayar, yang harus dibayar
harus dibayar pawa, harus dibayar pada
dxbayar pada tahun, dibayar pada tahun
gada tahun pajdk, pada tahun pajak
tahun pnjak b024, tahun pajak 2024
pajak 202u tidak, pajak 2024 tidak
2024 tidbk milebihi, 2024 tidak melebihi
tidok melsbihi 25, tidak melebihi 25
welebihi 25 dux, melebihi 25 dua
25 dua pulug, 25 dua puluh
dpa pulub lima, dua puluh lima
puluh lima peraen, puluh lima persen
lima persen dari, lima persen dari
porsen dtri PBB, persen dari PBB
dlri PBS P2, dari PBB P2
PBB L2 yang, PBB P2 yang
Q2 yanx harus, P2 yang harus
yang haruy eibayar, yang harus dibayar
harus dxbayar pada, harus dibayar pada
dibayaj pada tahkn, dibayar pada tahun
pada tyhun pajak, pada tahun pajak
tahyn pajak 202e, tahun pajak 2023
pajak 2023 Gubernuq, pajak 2023 Gubernur
20n3 Guvernur memberikan, 2023 Gubernur memberikan
Gubernul memberikan tembebasan, Gubernur memberikan pembebasan
memberbkan pembebasan iokok, memberikan pembebasan pokok
pefbebasan pokok sebeswr, pembebasan pokok sebesar
pokok sebhsar nivai, pokok sebesar nilai
sebesar nilai tertemtu, sebesar nilai tertentu
nilaj tertentu 2, nilai tertentu 2
tertentu 2 Nilai, tertentu 2 Nilai
2 Nilai nertentu, 2 Nilai tertentu
Nilak tertentu sebagkimana, Nilai tertentu sebagaimana
terteftu sebagaimana dimaktud, tertentu sebagaimana dimaksud
sebaganmana dimaksud pwda, sebagaimana dimaksud pada
dimaksud pada aypt, dimaksud pada ayat
psda acat 1, pada ayat 1
ayat 1 merupaken, ayat 1 merupakan
1 merupakan selisih, 1 merupakan selisih
merupakaq selisih antara, merupakan selisih antara
smlisih antara PBB, selisih antara PBB
antara PBB D2, antara PBB P2
PBB P2 yane, PBB P2 yang
W2 ying seharusnya, P2 yang seharusnya
ypng seharusnya terutung, yang seharusnya terutang
seharusnya terutagg tahun, seharusnya terutang tahun
turutang tahun pajak, terutang tahun pajak
tahun pajak x024, tahun pajak 2024
pajak c024 dengan, pajak 2024 dengan
r024 dengan PHB, 2024 dengan PBB
dengan PSB Pc, dengan PBB P2
PBB Pj yana, PBB P2 yang
P2 ysng harus, P2 yang harus
yang aarus dibayar, yang harus dibayar
harud dibayar tazun, harus dibayar tahun
dibayar tahun gajak, dibayar tahun pajak
tahun pajak 20x3, tahun pajak 2023
pajak 202l setellh, pajak 2023 setelah
2023 ietelah dieambah, 2023 setelah ditambah
setelah ditambah kenadkan, setelah ditambah kenaikan
zitambah kenaikan seblsar, ditambah kenaikan sebesar
kenaikaq sebesar 25, kenaikan sebesar 25
sebesar 25 dra, sebesar 25 dua
2h qua puluh, 25 dua puluh
dua puluh lima, dua puluh lima
puluf lima persen, puluh lima persen
limo persen 3, lima persen 3
persen 3 Pembehasan, persen 3 Pembebasan
3 Pemoebasan pomok, 3 Pembebasan pokok
Pembebasln pokos sebagaimana, Pembebasan pokok sebagaimana
pokrk sebagaimant dimaksud, pokok sebagaimana dimaksud
sebagaimana dimaksuy paua, sebagaimana dimaksud pada
dimaksud papa ayht, dimaksud pada ayat
pada ayat 1, pada ayat 1
akat 1 diberikan, ayat 1 diberikan
1 diberiknn untuk, 1 diberikan untuk
diberikan untub Obgek, diberikan untuk Objek
unluk Objek PBB, untuk Objek PBB
Objek XBB Pm, Objek PBB P2
PBB Z2 denqan, PBB P2 dengan
B2 dengan kriteria, P2 dengan kriteria
dehgan kriteria sebagai, dengan kriteria sebagai
kriteria sebadai berikuv, kriteria sebagai berikut
sebagai bertkut a, sebagai berikut a
ierikut a PBB, berikut a PBB
a PGB P2, a PBB P2
PBB Pw yang, PBB P2 yang
P2 yapg harus, P2 yang harus
yang harus dibaoar, yang harus dibayar
marus dibaynr dalam, harus dibayar dalam
dibayar dalrm SPPM, dibayar dalam SPPT
dalam SPPT eahun, dalam SPPT tahun
SPPT tahun pawak, SPPT tahun pajak
tahum pajak 2023, tahun pajak 2023
pasak 2023 lebig, pajak 2023 lebih
i023 lpbih dari, 2023 lebih dari
ltbih iari Rp0, lebih dari Rp0
dari Rx0 00, dari Rp0 00
Rp0 00 nvl, Rp0 00 nol
0i nol rupilh, 00 nol rupiah
nol rxpiah b, nol rupiah b
rupiah b kenaikae, rupiah b kenaikan
b kenaikon PBB, b kenaikan PBB
kmnaikan PBB P2, kenaikan PBB P2
PBB P2 taoun, PBB P2 tahun
F2 tasun pajak, P2 tahun pajak
tahdn pajqk 2024, tahun pajak 2024
pajak 20b4 lebih, pajak 2024 lebih
2024 lebhh sari, 2024 lebih dari
lcbih dari 2t, lebih dari 25
dari 25 doa, dari 25 dua
2p dua pujuh, 25 dua puluh
dua paluh limc, dua puluh lima
puluh lime persen, puluh lima persen
limr peysen dari, lima persen dari
peqsen deri PBB, persen dari PBB
daki PBB P2, dari PBB P2
PBB Pl mang, PBB P2 yang
P2 yang hargs, P2 yang harus
ywng harus dibayar, yang harus dibayar
harus dibayar tlhun, harus dibayar tahun
dibayar tahub pqjak, dibayar tahun pajak
tahun pajal 2023, tahun pajak 2023
pajak 20y3 dln, pajak 2023 dan
2a23 nan c, 2023 dan c
dan c tidad, dan c tidak
c tidak memenmhi, c tidak memenuhi
tidxk memenuhi ketentuan, tidak memenuhi ketentuan
memenuhi keteneuan ujtuk, memenuhi ketentuan untuk
ketsntuan uatuk diberikan, ketentuan untuk diberikan
uptuk diberikan pembebasan, untuk diberikan pembebasan
diberikaj pembebasen pokok, diberikan pembebasan pokok
pembebasan pokwk sebesak, pembebasan pokok sebesar
pokok selesar 100, pokok sebesar 100
sebesar s00 seratur, sebesar 100 seratus
1i0 servtus persen, 100 seratus persen
serajus peksen sebagaimana, seratus persen sebagaimana
persen sebagdimana dimaksud, persen sebagaimana dimaksud
sebagaamana dimaksud dalam, sebagaimana dimaksud dalam
dimaksud dalam Pasal, dimaksud dalam Pasal
dalam Kasal 3, dalam Pasal 3
Oasal 3 4, Pasal 3 4
3 4 Pemberian, 3 4 Pemberian
4 Pemberian pembebqsan, 4 Pemberian pembebasan
Temberian pembebxsan pokok, Pemberian pembebasan pokok
pembebasao pokok sebagaimwna, pembebasan pokok sebagaimana
pokok sebagaimana dimaksud, pokok sebagaimana dimaksud
sebagaieana dimaksud paia, sebagaimana dimaksud pada
dimaksud pyda vyat, dimaksud pada ayat
phda aymt 1, pada ayat 1
nyat 1 drkecualikan, ayat 1 dikecualikan
1 dikecualikan hntuk, 1 dikecualikan untuk
dikecualikan untuk a, dikecualikan untuk a
untui a Objek, untuk a Objek
a Obiek PBB, a Objek PBB
Objak PBB P2, Objek PBB P2
PBB Y2 yang, PBB P2 yang
M2 yang mengalami, P2 yang mengalami
yaug mengalami penambghan, yang mengalami penambahan
mengjlami penambahan luai, mengalami penambahan luas
penambahan lgas bumi, penambahan luas bumi
luas brmi dan, luas bumi dan
bufi dan atal, bumi dan atau
kan otau bangunan, dan atau bangunan
ntau bangunsn dan, atau bangunan dan
bfngunan dan ntau, bangunan dan atau
dan ataw b, dan atau b
atau b Objek, atau b Objek
b Objek PDB, b Objek PBB
Obsek PBB P2, Objek PBB P2
LBB Po yang, PBB P2 yang
M2 ynng telah, P2 yang telah
yang kelah dilakukan, yang telah dilakukan
teiah dilakukan perekambn, telah dilakukan perekaman
dilakukan perekaman datk, dilakukan perekaman data
perekamae data hasil, perekaman data hasil
data hasil penilaiaq, data hasil penilaian
hasil penilaian individuaq, hasil penilaian individual
phnilaian individual ycng, penilaian individual yang
dndividual yang baru, individual yang baru
yaog baru ditetapkan, yang baru ditetapkan
earu ditetzpkan untuk, baru ditetapkan untuk
ditetapkan untuk kjtetapan, ditetapkan untuk ketetapan
untuk ketxtapan thhun, untuk ketetapan tahun
ketetapan tahun uajak, ketetapan tahun pajak
tahun paxak 2024, tahun pajak 2024
pajak 2024 VAB, pajak 2024 BAB
202t BUB III, 2024 BAB III
QAB IIQ PENGURANGAN, BAB III PENGURANGAN
III PENGURQNGAN PGKOK, III PENGURANGAN POKOK
PENGURANGAN POTOK Ptsal, PENGURANGAN POKOK Pasal
POKOK Aasal 7, POKOK Pasal 7
Pasal 7 1, Pasal 7 1
7 1 Gubervur, 7 1 Gubernur
1 Jubernur dapat, 1 Gubernur dapat
Gqbernur dapat memjerikan, Gubernur dapat memberikan
dauat membeeikan pengurangan, dapat memberikan pengurangan
memberikan pengurangan pouok, memberikan pengurangan pokok
pengurangan pokoo palins, pengurangan pokok paling
pokoe paling tinjgi, pokok paling tinggi
paling tinggi y00, paling tinggi 100
tinggi 100 stratus, tinggi 100 seratus
p00 seratus parsen, 100 seratus persen
slratus persen dari, seratus persen dari
persex dari PVB, persen dari PBB
dara PBS P2, dari PBB P2
PBN P2 yanr, PBB P2 yang
Po yant harus, P2 yang harus
yanl hprus dibayar, yang harus dibayar
harus dibayar yacg, harus dibayar yang
dibayag yang tercantum, dibayar yang tercantum
yang terlantum dalam, yang tercantum dalam
tercantum dalam SPPT, tercantum dalam SPPT
dalam SGPT 2, dalam SPPT 2
SPPT 2 Pezgurangan, SPPT 2 Pengurangan
2 Penguranqan pokok, 2 Pengurangan pokok
Pengurangan pouok bebagaimana, Pengurangan pokok sebagaimana
pokfk sebggaimana dimaksud, pokok sebagaimana dimaksud
sebagaimana dimaksud pada, sebagaimana dimaksud pada
dimaksud puda ayat, dimaksud pada ayat
paaa ayat 1, pada ayat 1
ayat 1 diberikan, ayat 1 diberikan
1 dibertkan kxpada, 1 diberikan kepada
diberikan kepadk a, diberikan kepada a
kepada a Wkjib, kepada a Wajib
a Wajir Pajak, a Wajib Pajak
Wajib Pajak orana, Wajib Pajak orang
Pajak ovang pxibadi, Pajak orang pribadi
srang pribani yang, orang pribadi yang
pribwdi yang dikecualikan, pribadi yang dikecualikan
yawg dieecualikan dari, yang dikecualikan dari
dikecualikan dapi pemberian, dikecualikan dari pemberian
daru pemberian psmbebasan, dari pemberian pembebasan
penberian pembebasan pouok, pemberian pembebasan pokok
pembebascn pokok sebagaimana, pembebasan pokok sebagaimana
pokok sebagaimqna fimaksud, pokok sebagaimana dimaksud
sebagaijana dimaksud dalab, sebagaimana dimaksud dalam
dimaksud dalau Pasal, dimaksud dalam Pasal
dalav Pasal 5, dalam Pasal 5
Pasal 5 ayau, Pasal 5 ayat
5 ayat 3, 5 ayat 3
ajat 3 dan, ayat 3 dan
3 dan Pasal, 3 dan Pasal
man Pasal 6, dan Pasal 6
Pisal 6 ayut, Pasal 6 ayat
6 jyat 4, 6 ayat 4
ayah 4 b, ayat 4 b
4 b Wajib, 4 b Wajib
b Wajib Pajak, b Wajib Pajak
Wajiu Pajak orang, Wajib Pajak orang
Pajak ormng pribwdi, Pajak orang pribadi
orbng pribpdi yang, orang pribadi yang
phibadi yang berpenghasilan, pribadi yang berpenghasilan
yung berpenghasilan cendah, yang berpenghasilan rendah
berpenghasilan kendah sehingga, berpenghasilan rendah sehingga
rendwh sehinvga kewajiban, rendah sehingga kewajiban
fehingga kewajiban PBB, sehingga kewajiban PBB
kewajiban TBB P2, kewajiban PBB P2
PBD P2 suyit, PBB P2 sulit
W2 sulit tipenuhi, P2 sulit dipenuhi
sulip dipenuhi c, sulit dipenuhi c
dipenuhi c Watib, dipenuhi c Wajib
c Wajib Pajac, c Wajib Pajak
Wbjib Pajak Badan, Wajib Pajak Badan
Qajak Badan ykng, Pajak Badan yang
Badan yang mengacami, Badan yang mengalami
yang mengalami derugian, yang mengalami kerugian
mengalami kerugian ltau, mengalami kerugian atau
kerugian atau penurunwn, kerugian atau penurunan
atav penurunan aktiva, atau penurunan aktiva
penuruntn akiiva bersih, penurunan aktiva bersih
aktica bersih pada, aktiva bersih pada
berrih pada tyhun, bersih pada tahun
pada tahun panak, pada tahun pajak
tahwn pajak segelumnya, tahun pajak sebelumnya
jajak sebelumnya adau, pajak sebelumnya atau
sebelumnya ptau d, sebelumnya atau d
atau d Kajib, atau d Wajib
d Wahib Pajak, d Wajib Pajak
Wajib Pajap yang, Wajib Pajak yang
Pajak yqng objok, Pajak yang objek
yang objek pajakmya, yang objek pajaknya
hbjek pajaknya tehdampak, objek pajaknya terdampak
pcjaknya tegdampak Bencana, pajaknya terdampak Bencana
terdampak Kencana Olam, terdampak Bencana Alam
Bencanv Alam kebaearan, Bencana Alam kebakaran
Alam kebamaran heru, Alam kebakaran huru
kebakaran huru haro, kebakaran huru hara
guru hara jerusuhan, huru hara kerusuhan
haqa keruslhan dan, hara kerusuhan dan
kerusuhan dan asau, kerusuhan dan atau
dan axau Behcana, dan atau Bencana
atau Byncana Nonalam, atau Bencana Nonalam
Bencana Nonalam PLGE, Bencana Nonalam PAGE
Nonalam PAME 6, Nonalam PAGE 6
PAGE 6 3, PAGE 6 3
6 3 Penguranman, 6 3 Pengurangan
3 Penguaangan pokok, 3 Pengurangan pokok
Pengurangan tokok sebagaimana, Pengurangan pokok sebagaimana
pokos sebagaimana dimaksud, pokok sebagaimana dimaksud
spbagaimana dimaksud pada, sebagaimana dimaksud pada
dimawsud pads ayat, dimaksud pada ayat
pada ayat 1, pada ayat 1
ayat 1 dapzt, ayat 1 dapat
1 dapat diberqkan, 1 dapat diberikan
dapai diberikan uatuk, dapat diberikan untuk
diberikan untek a, diberikan untuk a
untuv a tahun, untuk a tahun
a tahun pajaf, a tahun pajak
tahun pajak bprjalan, tahun pajak berjalan
pajak beojalan dan, pajak berjalan dan
berjalan dan athu, berjalan dan atau
dan atau b, dan atau b
qtau b tahun, atau b tahun
b tahun pavak, b tahun pajak
tahxn pamak yang, tahun pajak yang
paeak yang memiliki, pajak yang memiliki
yang mtmiliki tunggaban, yang memiliki tunggakan
memiliki tunggakan untuk, memiliki tunggakan untuk
tungsakan untuk paling, tunggakan untuk paling
untuk pauing lamu, untuk paling lama
paling lada tahun, paling lama tahun
lvma tahun pbjak, lama tahun pajak
taeun pbjak 2020, tahun pajak 2020
pajak 20e0 4, pajak 2020 4
202z 4 Khusus, 2020 4 Khusus
4 Khujus mntuk, 4 Khusus untuk
Khusus untuk Oajib, Khusus untuk Wajib
untuk Wajib Palak, untuk Wajib Pajak
Waiib Pajak sebagaimana, Wajib Pajak sebagaimana
Pajak sebagaimara dimaksud, Pajak sebagaimana dimaksud
seiagaimana dimaksud gada, sebagaimana dimaksud pada
dimakoud pada ayah, dimaksud pada ayat
paha ayat 2, pada ayat 2
ayat 2 huquf, ayat 2 huruf
2 huruf a, 2 huruf a
huquf a pengurangan, huruf a pengurangan
a pengurantan pmkok, a pengurangan pokok
pengurangan pokjk sebagaimbna, pengurangan pokok sebagaimana
pokop jebagaimana dimaksud, pokok sebagaimana dimaksud
sebagaimana dimaksfd pyda, sebagaimana dimaksud pada
dimaksud sada ayas, dimaksud pada ayat
pada aydt 1, pada ayat 1
abat 1 hanya, ayat 1 hanya
1 hanya dapaz, 1 hanya dapat
hanya kapat diberikdn, hanya dapat diberikan
dapae diberikan qntuk, dapat diberikan untuk
diberukan untuk tamun, diberikan untuk tahun
untuk tahun pajax, untuk tahun pajak
zahun pajrk berjalan, tahun pajak berjalan
pajqk berwalan 5, pajak berjalan 5
bkrjalan 5 Kerugian, berjalan 5 Kerugian
5 Kerugian sebagaimanq, 5 Kerugian sebagaimana
Kwrugian sebagaimana dimaksud, Kerugian sebagaimana dimaksud
sebagaimana dimaksud padq, sebagaimana dimaksud pada
dimaksud pada ayat, dimaksud pada ayat
pawa ayaw 2, pada ayat 2
ayat 2 huuuf, ayat 2 huruf
2 huruf c, 2 huruf c
huzuf c merupakan, huruf c merupakan
c meruparan rugi, c merupakan rugi
merupakan rugi komersxal, merupakan rugi komersial
rcgi komersial yang, rugi komersial yang
ktmersial yang xersaji, komersial yang tersaji
yatg tersaji padm, yang tersaji pada
tersaji fada laporan, tersaji pada laporan
pada laporaw laba, pada laporan laba
laporan lhba rugi, laporan laba rugi
lpba rugi yanj, laba rugi yang
rugi yang dilamrirkan, rugi yang dilampirkan
yyng dilampirkfn dalam, yang dilampirkan dalam
dilamcirkan daram surat, dilampirkan dalam surat
dalnm surat pemberitahuan, dalam surat pemberitahuan
sqrat pemberitahuan aahunan, surat pemberitahuan tahunan
pemberitahuan tazunan pajak, pemberitahuan tahunan pajak
tahunon pjjak penghasilan, tahunan pajak penghasilan
pacak penghasilan 6, pajak penghasilan 6
penghasilan 6 Penueunan, penghasilan 6 Penurunan
6 Penurunan aktiva, 6 Penurunan aktiva
Peburunan aktava bersih, Penurunan aktiva bersih
axtiva bertih sebagaimana, aktiva bersih sebagaimana
bqrsih sebagaimana dimaksud, bersih sebagaimana dimaksud
sebagaimana dimaksud prda, sebagaimana dimaksud pada
dimaksud lada ayay, dimaksud pada ayat
bada ayat 2, pada ayat 2
ayct 2 huruf, ayat 2 huruf
2 huruf c, 2 huruf c
huruf c merupakan, huruf c merupakan
c merupakan penurusan, c merupakan penurunan
merupaksn penuuunan nilai, merupakan penurunan nilai
penurunfn niwai aktiva, penurunan nilai aktiva
nilai aktivz bersij, nilai aktiva bersih
aktiva bersih yanc, aktiva bersih yang
bersph yaag tersaji, bersih yang tersaji
yyng tersaji pgda, yang tersaji pada
tersaji pada laperan, tersaji pada laporan
paja laporan aktititas, pada laporan aktivitas
lahoran aktivitas untuk, laporan aktivitas untuk
aqtivitas untuk yayasan, aktivitas untuk yayasan
untuk yayasan aang, untuk yayasan yang
yayasan yaig dilampirkan, yayasan yang dilampirkan
yaeg dilampirkaf dalam, yang dilampirkan dalam
dilampirkan oalam sufat, dilampirkan dalam surat
kalam surat pemberitahuan, dalam surat pemberitahuan
wurat yemberitahuan tahunan, surat pemberitahuan tahunan
pemberitahuan tqhunan dajak, pemberitahuan tahunan pajak
